	z_a	z_e	a	e	a_logits	e_logits	e_in
12	[0.019754275679588318, -0.48549386858940125, -0.40472713112831116, -0.4622359275817871, -0.45481160283088684, 0.06931794434785843, 0.9979721903800964, -0.254671186208725]	[1.713738203048706, -0.9962975978851318, -1.4226186275482178, -0.9429903030395508, 2.1941051483154297, -1.6861345767974854, 0.29394423961639404, 0.10866948962211609, 2.099154472351074, -1.0696953535079956, 1.2711999416351318, -0.6039237976074219, 0.6737112402915955, 1.5098754167556763, 1.7809761762619019, 0.05202840268611908]	4.0	0.0	[-0.3385971486568451, -0.7765374779701233, -0.6696732044219971, -0.9316163063049316, 0.004307297524064779, -1.000321865081787, -0.05664901062846184, -0.7337912917137146]	[2.233582019805908, -0.525686502456665, -0.6351306438446045, -0.7692378759384155, -0.6111051440238953, -0.6555444002151489, -0.6742680668830872, -0.6174025535583496, -0.7368463277816772, -0.5757398009300232, -0.5301042199134827]	4
13	[-0.3393920958042145, 0.6655774712562561, -0.25295454263687134, -0.6166583299636841, -1.2244199514389038, 0.46002936363220215, -2.335343837738037, -1.1745831966400146]	[0.005478203296661377, 3.383394241333008, 1.8203696012496948, 0.41235440969467163, -0.7900794744491577, 1.9404408931732178, -2.8874292373657227, -0.34842970967292786, -3.8174326419830322, 0.9567949771881104, -2.210745334625244, 0.0172920823097229, -0.5556625127792358, -2.6898016929626465, -0.9571152925491333, 1.5785561800003052]	5.0	3.0	[-0.11694154143333435, 0.9543086290359497, 1.0808559656143188, 0.3067663609981537, 0.7513980269432068, 1.6724032163619995, 0.3922041058540344, -0.9483332633972168]	[-0.8256008625030518, -0.3192996084690094, -0.32705599069595337, 1.675951600074768, -0.1739087849855423, -0.777402937412262, -0.4672588109970093, -1.0651507377624512, -0.7255498766899109, -0.648715078830719, -0.6082625985145569]	3
14	[-0.8084022402763367, 1.3426328897476196, 0.18525174260139465, -0.5782942771911621, -0.20189844071865082, 0.2009093314409256, 0.07068455219268799, 0.5320695042610168]	[-0.009615600109100342, 3.512131929397583, 1.518378496170044, -0.2771616280078888, 1.4652727842330933, 1.7483123540878296, -0.9355956315994263, -0.5473389625549316, -4.0935797691345215, 0.4308941960334778, -1.005765676498413, 0.1431272029876709, -0.7675348520278931, -2.0719387531280518, -0.8942639827728271, 1.4696717262268066]	0.0	4.0	[1.1121867895126343, -0.053671516478061676, 0.5184715986251831, -1.3516557216644287, -0.3567054569721222, -0.17032383382320404, -1.2916008234024048, -0.5398900508880615]	[-0.7095039486885071, -0.41502848267555237, -0.5096354484558105, -0.4373631179332733, 2.0102226734161377, -0.5795115232467651, -0.5470155477523804, -0.6116694211959839, -0.6343391537666321, -0.6292760372161865, -0.7829408645629883]	4
15	[-1.0388288497924805, 1.3722163438796997, 1.2754027843475342, -0.45543408393859863, -0.14598524570465088, 0.1194528341293335, 0.6727468967437744, 1.2973052263259888]	[-0.25294482707977295, 5.213407039642334, 0.7887938022613525, 0.7907608151435852, 0.5191776752471924, 1.4034385681152344, -1.976923942565918, 1.7684807777404785, -3.261765480041504, -0.0031578540802001953, -0.7472664713859558, -0.5614327192306519, -1.8174858093261719, -3.1834640502929688, -2.9767162799835205, -0.1525866985321045]	0.0	1.0	[2.063816785812378, -0.4533310532569885, 0.7644086480140686, -1.6098670959472656, -0.8291348218917847, -1.5072088241577148, -1.7653107643127441, -0.6127610802650452]	[-0.27384862303733826, 2.3398778438568115, -0.33646360039711, 0.14970748126506805, -0.5010104179382324, -0.1114383414387703, -0.33743831515312195, -0.07264655828475952, 0.06271185725927353, 0.316799134016037, 0.29352980852127075]	1
16	[0.18569430708885193, 0.10079604387283325, -0.5550661683082581, 0.8889085650444031, 0.055598556995391846, -0.1934206485748291, -2.4036388397216797, -0.3971567749977112]	[-0.5950730443000793, 0.5700725317001343, -1.098151445388794, 0.7572089433670044, 0.5417275428771973, -0.2433713972568512, -0.3903385102748871, 2.196756362915039, 1.7731249332427979, -1.5902009010314941, 1.2196896076202393, 1.0921770334243774, -0.023944437503814697, -1.5036466121673584, 0.6096181869506836, 0.09506967663764954]	1.0	4.0	[0.39319732785224915, 0.8300483822822571, 0.4591734707355499, 0.5934244394302368, 0.5465953946113586, 0.6614236831665039, 0.7533194422721863, 0.4370822012424469]	[-0.7760362029075623, -0.4464153051376343, -0.6075361371040344, -0.5782433748245239, 2.2952306270599365, -0.5039083957672119, -0.46816909313201904, -0.5380373597145081, -0.6715407371520996, -0.5720598697662354, -0.5389204025268555]	4
17	[1.626442551612854, -0.9021924138069153, 0.04267758131027222, 0.05793201923370361, -0.7568236589431763, 0.5614609718322754, 0.46744048595428467, -1.7748839855194092]	[-0.2577516436576843, -1.1847513914108276, 1.5016038417816162, -2.12548828125, 0.046463653445243835, 0.4971124529838562, -0.4840034544467926, -0.20964863896369934, -0.44889673590660095, -1.686835527420044, -1.0615828037261963, 0.1353149265050888, 0.8706746101379395, -0.5769454836845398, 0.9043104648590088, 0.7553712725639343]	6.0	4.0	[-0.8917427659034729, -1.251234531402588, -0.3895905911922455, -0.028983067721128464, 0.13402462005615234, 0.38732287287712097, 1.6991286277770996, -1.8347629308700562]	[-0.730633020401001, 0.565064549446106, -0.4898960590362549, -0.2971629202365875, 1.4117653369903564, 0.177633598446846, -0.07846716046333313, 0.46828219294548035, 0.3416364789009094, 0.026431182399392128, 0.30362191796302795]	4
18	[0.14092299342155457, 0.02998751401901245, -1.0635448694229126, 0.15082977712154388, -0.7627305388450623, -0.5312153100967407, -0.18066918849945068, -1.0010271072387695]	[1.4276822805404663, -1.578149437904358, -1.9359636306762695, -0.82200026512146, 2.053936004638672, 0.7795254588127136, -2.3373806476593018, 1.1227798461914062, 0.02205568552017212, -1.5385408401489258, -0.6792484521865845, 1.713877558708191, 0.10185670852661133, 1.8076171875, 1.2065424919128418, 0.3581906855106354]	5.0	0.0	[-1.061704158782959, -0.38640356063842773, -0.6044422388076782, -0.46313634514808655, 0.30082184076309204, 0.45555996894836426, 0.19131843745708466, -0.8694773316383362]	[2.1552464962005615, -0.8523597121238708, -0.6755078434944153, -0.5268924236297607, -0.8417959213256836, -0.805058479309082, -1.1575829982757568, -1.1173477172851562, -1.0664658546447754, -1.0430467128753662, -0.9595102667808533]	0
19	[-1.7981098890304565, 1.6439099311828613, 1.3255137205123901, -0.3467581272125244, 0.8550107479095459, -0.062296658754348755, 0.3446922302246094, 1.0081931352615356]	[-1.1056914329528809, 3.244511842727661, -0.8316934108734131, 1.8733686208724976, 0.8402784466743469, -0.4835432171821594, -1.9516773223876953, 0.528255045413971, -0.05593419075012207, -0.02368602156639099, 1.7090145349502563, -1.2188987731933594, -1.1041210889816284, -1.9416475296020508, -0.3871164917945862, 0.703662633895874]	0.0	4.0	[1.9002281427383423, -0.19865426421165466, 0.6313832402229309, -0.9490969181060791, -1.4175329208374023, -0.18135717511177063, -2.7328758239746094, 0.28021734952926636]	[-0.7764606475830078, -0.35903647541999817, -0.9015963673591614, -0.7149524092674255, 2.2901923656463623, -0.5501399040222168, -0.30292612314224243, -0.7925872802734375, -0.6904184818267822, -0.5476180911064148, -0.829538881778717]	4
20	[0.02572573721408844, -0.5636740922927856, -0.5696308612823486, -0.18614354729652405, -0.03294964134693146, 0.021969377994537354, -1.1278495788574219, -1.7455576658248901]	[0.4705463647842407, -3.0108118057250977, -1.2194788455963135, -1.8148839473724365, 0.6285590529441833, 0.31226062774658203, 0.6051768660545349, 0.07679985463619232, 2.1914072036743164, 0.9324140548706055, -0.23822548985481262, -0.07022655010223389, 1.3366405963897705, 1.34968900680542, 2.5780844688415527, 0.5900430679321289]	5.0	3.0	[-1.1917210817337036, 0.14573724567890167, -0.32375720143318176, 0.9291078448295593, 0.2594154477119446, 1.7183765172958374, 0.38734161853790283, -0.2049073725938797]	[-0.9943180084228516, -0.7019370198249817, -0.5289932489395142, 2.203991651535034, -0.6537684798240662, -1.0362401008605957, -0.6799777150154114, -0.9761229753494263, -0.9325945377349854, -1.0684630870819092, -0.8826441764831543]	3
21	[-0.2257821261882782, -0.02919444814324379, 0.23889152705669403, 1.0645469427108765, -0.6366750597953796, 0.13685715198516846, -1.1219468116760254, -0.5035433769226074]	[-0.7411478161811829, 0.6628641486167908, -0.5907227993011475, -1.0893919467926025, -0.33313000202178955, 2.355201482772827, 0.1227409839630127, -0.8211557865142822, -1.07578706741333, 0.6477543115615845, -1.0464961528778076, -0.10664191842079163, 0.9020485877990723, 0.3943084478378296, -2.290675163269043, 1.5067499876022339]	6.0	3.0	[0.43018612265586853, -0.2531883716583252, 0.4339635372161865, 0.04845570772886276, -0.3719830811023712, -0.06894629448652267, 0.5829416513442993, -0.5216355919837952]	[-0.4433712959289551, -0.6244555711746216, -0.5002347230911255, 1.4062912464141846, -0.2664884030818939, -0.7387095093727112, -0.6059541702270508, -1.0204559564590454, -0.7907980680465698, -0.8662439584732056, -0.8423712253570557]	3
22	[-0.3091471195220947, -1.220315933227539, -0.48133227229118347, -0.2088160216808319, 0.1565449833869934, 0.21784798800945282, -0.974234402179718, -1.8632835149765015]	[1.7670469284057617, -1.514462947845459, -0.6650834083557129, 0.011015087366104126, 1.5508832931518555, -0.2562430799007416, 0.6944622993469238, -1.3879411220550537, -0.15594768524169922, -0.38455265760421753, -0.22991685569286346, 0.4901401400566101, 0.36536675691604614, 0.1408025026321411, 1.3933098316192627, 0.02866571582853794]	5.0	6.0	[-1.3917206525802612, 0.0747285932302475, -0.5514108538627625, 1.2864909172058105, 0.04746336117386818, 1.508090615272522, 0.4130927324295044, 0.16538457572460175]	[-0.20540066063404083, 0.5272157788276672, 0.47960659861564636, -0.5904480814933777, -0.38625791668891907, 2.3316304683685303, 4.200097560882568, 2.4647653102874756, 2.043734312057495, 2.3815572261810303, 2.2660086154937744]	4
23	[-1.7181024551391602, -0.14359623193740845, 1.4254424571990967, 0.542231559753418, 1.8621493577957153, 0.4457373023033142, 1.7381895780563354, 1.4024465084075928]	[0.8174471259117126, 1.689480185508728, -1.1101235151290894, 1.5324050188064575, 2.529146432876587, -2.1823830604553223, -1.2607297897338867, 0.6566179990768433, 1.4806079864501953, -1.056039810180664, 1.5849672555923462, -0.6570197343826294, -2.022669553756714, 1.3110041618347168, 1.9541120529174805, -0.8436072468757629]	0.0	4.0	[2.012155055999756, -1.160688042640686, -0.3596110939979553, -0.8069782257080078, -2.2914822101593018, -1.8784966468811035, -2.102020263671875, 1.3004701137542725]	[-0.6930809020996094, -0.43358761072158813, -0.4904640018939972, -0.4184749126434326, 1.5147970914840698, -0.7620787620544434, -0.6783820986747742, -1.2509347200393677, -1.0293093919754028, -0.8104320168495178, -0.8013164401054382]	2
24	[0.9531543254852295, -1.1584358215332031, -1.5048058032989502, 0.3641245365142822, -0.2152830809354782, -0.01013338565826416, -0.3500732183456421, -1.1651053428649902]	[1.6559371948242188, -2.7173542976379395, -0.4489566385746002, -0.9032666683197021, 0.08838701248168945, -0.0715705156326294, 1.6888651847839355, -1.2561057806015015, 4.18361759185791, -1.7459384202957153, 1.9738614559173584, -0.22604215145111084, 1.7898173332214355, 0.8565887212753296, 0.21536719799041748, 0.19727474451065063]	6.0	5.0	[-1.2359471321105957, -0.2996406853199005, -0.9671579003334045, 0.05546576529741287, 0.6676625609397888, 0.16443805396556854, 1.4429881572723389, -0.24184896051883698]	[-0.5882521867752075, 1.4845448732376099, -0.10726102441549301, -0.49216514825820923, 0.1555395871400833, 3.613107442855835, 1.2559305429458618, 2.0174498558044434, 1.7498459815979004, 2.037118911743164, 2.044616222381592]	4
25	[-1.0705797672271729, 1.7949142456054688, 0.6455432772636414, -0.4539680480957031, -0.768547534942627, 0.36934033036231995, -2.973719596862793, 0.6898037195205688]	[-0.9614397287368774, 5.008781909942627, 1.7025983333587646, 0.6634153723716736, -1.4996520280838013, 1.999201774597168, -1.2990999221801758, 1.2632174491882324, -3.1668787002563477, 1.5341925621032715, -1.8547762632369995, 1.0977532863616943, -2.349949598312378, -4.093397617340088, -4.115252494812012, 0.44666218757629395]	2.0	3.0	[2.0970377922058105, 1.6480506658554077, 2.121344804763794, -0.25705692172050476, 0.556607186794281, 0.4036077558994293, -0.6633279919624329, -0.1618230640888214]	[-0.6206035017967224, -0.5073819160461426, -0.34907397627830505, 1.443344235420227, -0.15762752294540405, -0.18834713101387024, -0.19270670413970947, -0.4737444818019867, -0.6248390078544617, -0.585794985294342, -0.5600435137748718]	4
26	[0.5695744752883911, -1.497925043106079, -1.0710151195526123, 0.5964166522026062, 0.024385765194892883, -0.8866727352142334, -2.236593246459961, -1.291327953338623]	[1.2222894430160522, -2.46899676322937, 0.2587089538574219, -1.2907922267913818, 3.8085243701934814, -0.8993270397186279, 0.3469931483268738, -0.06762929260730743, 4.677088260650635, -2.5271544456481934, 1.9535760879516602, 0.6877650022506714, -0.17739927768707275, 3.289212703704834, 1.4750914573669434, 0.4736798107624054]	3.0	2.0	[-1.2523318529129028, 0.7624377608299255, -0.6238874197006226, 1.6410648822784424, 1.2254842519760132, 0.43709439039230347, 1.2883292436599731, 0.6846739649772644]	[0.26751622557640076, 1.2054715156555176, 2.1678285598754883, -0.34279415011405945, -0.7084738612174988, 0.5287350416183472, 0.6529359817504883, 1.5907412767410278, 1.1413538455963135, 1.4117624759674072, 1.3282232284545898]	1
27	[0.8534054756164551, -0.23194214701652527, 0.4436034560203552, -0.5514077544212341, -0.7622470855712891, 0.747675895690918, -1.4480645656585693, -0.05453449860215187]	[-3.025876998901367, 1.2771570682525635, 1.0059959888458252, 0.6102497577667236, -0.1095215380191803, 1.7214288711547852, -2.6547939777374268, 1.5157678127288818, -2.3344058990478516, 1.9889822006225586, -2.399810552597046, 1.052852749824524, -1.3571828603744507, -0.9468381404876709, -0.9913671016693115, 1.3451529741287231]	6.0	4.0	[1.0584907531738281, 0.5205857157707214, 0.9949814081192017, -0.05406126752495766, 1.0273559093475342, -0.7590155601501465, 1.2442706823349, -0.7685767412185669]	[-0.1199725866317749, -0.32521042227745056, -0.5257247686386108, -0.674768328666687, 1.518118977546692, -0.8935483694076538, -0.6635835766792297, -0.9239881038665771, -0.7594681978225708, -0.9457303881645203, -0.8609118461608887]	4
28	[-0.9994277954101562, 0.587985634803772, 1.1504427194595337, 0.7268227338790894, 0.5496872067451477, 0.19505983591079712, -0.6286718845367432, 1.3810594081878662]	[-1.244488000869751, 2.683295726776123, 0.2770131826400757, 1.1322158575057983, -1.4105782508850098, -0.6482794284820557, -0.35570597648620605, -0.5285356044769287, -4.6917877197265625, -0.006844311952590942, -1.5313631296157837, 0.3979438245296478, -1.3563389778137207, -0.47270071506500244, -1.7898657321929932, 0.17320185899734497]	0.0	4.0	[2.3875200748443604, 0.040902744978666306, 0.834658145904541, -0.5714555978775024, -0.8673224449157715, -1.5566385984420776, -0.9145429730415344, 0.6378918290138245]	[-0.01763240434229374, -0.6345533132553101, -0.34768393635749817, 0.11039263010025024, 0.8019309639930725, -0.9283179044723511, -1.0455241203308105, -1.020156741142273, -1.3071057796478271, -0.9980405569076538, -0.7921291589736938]	0
29	[0.2977239787578583, -1.120527982711792, -0.31970855593681335, 0.07286227494478226, -1.105765700340271, -0.2956995666027069, -0.48897749185562134, -1.1487622261047363]	[0.0802478939294815, -0.6844691038131714, 0.6615810990333557, 0.3271327614784241, -1.33272123336792, 0.7624098062515259, -0.42279648780822754, -0.9805769920349121, -1.3457953929901123, -1.110748529434204, -0.34614694118499756, -0.40072542428970337, 1.1770591735839844, 0.5327244997024536, 2.4407389163970947, 0.20378908514976501]	6.0	2.0	[-1.0047545433044434, -0.36298635601997375, -0.43443071842193604, 0.3214459717273712, 0.5445498824119568, -0.495821475982666, 0.9548493027687073, -0.9032570123672485]	[0.028198914602398872, -0.27959418296813965, 3.561788558959961, -0.43116334080696106, -0.9617893695831299, 0.31058165431022644, 0.6817194223403931, 1.3656128644943237, 1.0439772605895996, 1.047628402709961, 0.8876931071281433]	2
30	[-0.3638157844543457, -1.114130973815918, -0.9145264625549316, 0.25050121545791626, 1.4019286632537842, -0.20181362330913544, -1.1921570301055908, -1.3313264846801758]	[1.4842437505722046, -0.5559854507446289, 0.35576391220092773, 0.7263652086257935, 2.006817579269409, -0.5539263486862183, 0.7063563466072083, -0.5266352891921997, 4.296818733215332, -1.6099237203598022, 0.4606395959854126, 0.9934967756271362, 0.7135867476463318, 2.6349329948425293, 0.7880330085754395, -0.4302499294281006]	5.0	4.0	[-1.0870680809020996, 0.4084831476211548, -0.9129420518875122, 1.471031665802002, -0.05127584934234619, 1.6285415887832642, -0.05082620680332184, 1.439997911453247]	[-0.7203805446624756, -0.3086678683757782, -0.7705388069152832, -0.5696641802787781, 1.9369759559631348, -0.43167582154273987, -0.330252081155777, -0.5941616892814636, -0.6952177882194519, -0.41937822103500366, -0.5457445383071899]	4
