	z_a	z_e	a	e	a_logits	e_logits	e_in
10	[1.6865942478179932, 0.9964184761047363, 1.5685893297195435, 0.24958652257919312]	[4.086278915405273, -3.978236436843872, 7.98979377746582, 10.840559959411621, -9.205229759216309, -12.233818054199219, -13.554081916809082, -2.9327504634857178]	6.0	2.0	[-0.8670909404754639, -0.3213884234428406, -0.6097614169120789, 0.18568453192710876, 0.2736833393573761, -0.20541587471961975, 1.0724148750305176, -0.505918562412262]	[-0.61776202917099, 0.9721365571022034, 1.134362816810608, -0.24187056720256805, 0.48141050338745117, 0.8880509734153748, -0.027746738865971565, 0.16224364936351776, 0.20378398895263672, 0.03477892652153969, 0.21344727277755737]	6
11	[-0.6278952360153198, -1.0060073137283325, -0.5619080066680908, -0.9883178472518921]	[1.771998405456543, -7.556905269622803, 8.564318656921387, 8.65136432647705, -9.19054126739502, -11.612991333007812, -14.043909072875977, -1.8080980777740479]	0.0	6.0	[1.355420708656311, -0.0882359966635704, 0.7030057907104492, -1.2143709659576416, -0.7759579420089722, -0.9604119658470154, -1.518282413482666, -0.5324554443359375]	[1.1691781282424927, 0.056055743247270584, 0.49600765109062195, 1.1514744758605957, 0.09542612731456757, 0.6931316256523132, 1.2329540252685547, 0.9622243046760559, 0.8983957171440125, 1.1492277383804321, 1.2185121774673462]	2
12	[0.85821533203125, 0.06687843799591064, 0.67194664478302, 1.0976777076721191]	[4.2596540451049805, -1.9178216457366943, 9.006926536560059, 8.783675193786621, -9.558608055114746, -11.443029403686523, -14.077855110168457, -2.2338473796844482]	6.0	0.0	[-0.6542530655860901, -0.9128934144973755, -0.9066438674926758, -0.044708166271448135, -0.5715965032577515, -0.7810195684432983, 0.1417996883392334, 0.09083180129528046]	[0.6966625452041626, -1.1060901880264282, 0.643671452999115, 0.13371765613555908, -0.5924779772758484, -0.7776340246200562, 0.08374563604593277, 0.012574155814945698, -0.014787297695875168, -0.06589271873235703, 0.07683424651622772]	4
13	[0.25132322311401367, 0.3151700794696808, 1.9401118755340576, -1.5189104080200195]	[2.5149052143096924, -6.302245140075684, 8.971162796020508, 11.223320960998535, -9.3529052734375, -10.895349502563477, -10.4469633102417, -2.4597365856170654]	2.0	3.0	[0.7487108707427979, 0.9482980966567993, 1.0060067176818848, -0.7477407455444336, 0.4760786294937134, 0.6902875900268555, -0.18804122507572174, -1.1360355615615845]	[0.26924043893814087, -0.39754393696784973, 0.6580965518951416, 1.3386095762252808, 0.07053607702255249, 0.8104130029678345, 1.079120397567749, 0.9111349582672119, 0.7945404052734375, 0.8467609286308289, 0.9162867069244385]	3
14	[-1.0712308883666992, -0.8440161943435669, 0.2778690457344055, -1.0120410919189453]	[0.9657331705093384, -8.468819618225098, 7.687244415283203, 9.056156158447266, -6.967886924743652, -9.042949676513672, -12.18118953704834, -3.393435001373291]	0.0	4.0	[1.5810511112213135, 0.46418631076812744, 1.0992918014526367, -1.1705095767974854, -0.5133836269378662, -0.1087416484951973, -1.6592910289764404, -0.4436797499656677]	[-0.8389031291007996, -0.3761606812477112, 0.0528922863304615, 0.5131091475486755, 3.006535768508911, 1.034570336341858, 1.1143012046813965, 0.7657865285873413, 0.9816520810127258, 0.9027376770973206, 0.8184276819229126]	4
15	[-0.8761718273162842, -1.7213718891143799, -1.3217313289642334, -0.5904714465141296]	[1.9500913619995117, -8.929584503173828, 7.891208171844482, 11.02754020690918, -8.683223724365234, -10.08349895477295, -10.529950141906738, -3.3768749237060547]	0.0	9.0	[1.3435885906219482, -0.6748250126838684, 0.3487827181816101, -1.4655309915542603, -1.3953185081481934, -1.6669460535049438, -1.990942120552063, -0.36392825841903687]	[-0.07012884318828583, 0.6571256518363953, 0.5128098130226135, 0.8666574954986572, 0.6232017874717712, 0.8938910961151123, 1.036617636680603, 1.0425431728363037, 0.7909797430038452, 1.0998919010162354, 1.0203055143356323]	1
16	[1.3634426593780518, -0.832604169845581, 2.2680587768554688, -0.5753703713417053]	[2.874451160430908, -3.5909810066223145, 7.796647071838379, 11.536518096923828, -10.166025161743164, -10.66935920715332, -15.086329460144043, -4.002161502838135]	6.0	4.0	[-0.8682045340538025, -0.581925630569458, -0.673044741153717, -1.144612431526184, -0.4208993911743164, -0.5372357368469238, 0.33362841606140137, -1.6746751070022583]	[-1.5882024765014648, -0.8240601420402527, -1.0961428880691528, 0.6664069890975952, 2.8752365112304688, 0.012971722520887852, 0.2816943824291229, 0.06616317480802536, 0.3265182375907898, 0.15009041130542755, 0.17141300439834595]	4
17	[1.7081865072250366, 1.8658770322799683, 1.9436208009719849, -0.18876054883003235]	[2.975390911102295, -5.395837783813477, 6.672218322753906, 9.948615074157715, -9.967723846435547, -10.366293907165527, -13.616819381713867, -1.6016172170639038]	6.0	5.0	[-0.5482869744300842, 0.39391008019447327, -0.03473508358001709, 0.5337585806846619, 0.9391672611236572, 0.5122615098953247, 1.3792766332626343, -0.45766252279281616]	[-0.5405707955360413, 0.33385932445526123, -0.9059048891067505, 0.25871407985687256, 0.35114091634750366, 0.7068618535995483, -0.0776912271976471, 0.3049398958683014, 0.13184401392936707, 0.32548201084136963, 0.12494444847106934]	4
18	[1.5822486877441406, 5.009864330291748, 1.987404465675354, -0.21706530451774597]	[2.4774444103240967, -5.532357215881348, 7.137922763824463, 12.375250816345215, -11.525786399841309, -11.565747261047363, -14.23443603515625, -2.1798927783966064]	4.0	0.0	[0.3519779443740845, 2.1289353370666504, 1.321969985961914, 2.3261353969573975, 2.7444870471954346, 2.3506603240966797, 2.2616727352142334, 0.8650803565979004]	[2.462602138519287, -0.8547283411026001, 0.24990645051002502, 0.1197344958782196, -1.334858775138855, -0.5049510598182678, 0.6955335140228271, 0.8334042429924011, 0.42370593547821045, 0.5412295460700989, 0.6320153474807739]	0
19	[-1.858325481414795, -0.2736600637435913, -2.1572563648223877, -0.005363821983337402]	[1.7225452661514282, -7.649474143981934, 8.259244918823242, 10.536345481872559, -6.86586856842041, -9.378006935119629, -13.901788711547852, -2.5309605598449707]	0.0	5.0	[2.38041615486145, 0.1846829056739807, 1.2440690994262695, -0.4140981435775757, -0.8065374493598938, -0.7786670923233032, -2.3060367107391357, 1.128575325012207]	[0.4014813303947449, 1.0953593254089355, 1.285109281539917, 0.3337208926677704, 0.4143219590187073, 1.3285285234451294, 1.1600277423858643, 0.9484269022941589, 0.9117273092269897, 1.022571325302124, 1.134340763092041]	4
20	[1.2845605611801147, 2.8587491512298584, 2.1129446029663086, -0.3446572422981262]	[2.659165859222412, -6.632164001464844, 7.083677291870117, 8.695770263671875, -10.343521118164062, -10.831433296203613, -12.60403823852539, -3.051330089569092]	4.0	3.0	[0.06325255334377289, 1.2565783262252808, 0.7293764352798462, 1.049133062362671, 1.593717336654663, 1.436719298362732, 1.4049924612045288, 0.02409348450601101]	[-1.2045295238494873, -0.3975124657154083, -0.854031503200531, 2.4422128200531006, -0.31907227635383606, -0.22175350785255432, 0.41536787152290344, 0.3561188876628876, 0.2381395548582077, 0.23922118544578552, 0.4924599826335907]	3
21	[1.368517279624939, 0.4098362326622009, 1.7106117010116577, 0.04142475128173828]	[3.891139507293701, -1.9276211261749268, 7.156367778778076, 8.594136238098145, -9.537161827087402, -11.717375755310059, -11.462738037109375, -2.4002764225006104]	6.0	3.0	[-0.7106685042381287, -0.3281137943267822, -0.5204511284828186, -0.21911762654781342, 0.034864746034145355, -0.228499636054039, 0.6791849732398987, -0.7407592535018921]	[-0.48711639642715454, -0.6814644932746887, -0.342223584651947, 1.310213565826416, -0.6507010459899902, -0.06513286381959915, 0.18084751069545746, 0.16383616626262665, -0.2013937383890152, 0.05633413419127464, -0.0353824608027935]	3
22	[1.0598580837249756, 1.1589062213897705, 2.364849090576172, 0.8623253703117371]	[2.7630066871643066, -3.0861058235168457, 6.287050247192383, 9.181848526000977, -10.349517822265625, -10.401398658752441, -12.468896865844727, -3.90861177444458]	6.0	3.0	[-0.7654272317886353, 0.062040090560913086, -0.4273417294025421, 0.42288103699684143, 0.37855055928230286, 0.6824307441711426, 0.8384119868278503, 0.001824305742047727]	[-0.4057093858718872, -0.2221899777650833, -1.1219913959503174, 0.5793282985687256, 0.17075538635253906, -0.3087737262248993, -0.141506627202034, -0.26306456327438354, -0.32118523120880127, -0.23265276849269867, -0.4008324444293976]	4
23	[-1.4832956790924072, -1.845210075378418, -2.5025887489318848, 0.7759621143341064]	[2.715193271636963, -4.435652732849121, 7.418359279632568, 9.33390998840332, -7.242819786071777, -9.651020050048828, -13.988778114318848, -1.844377040863037]	0.0	2.0	[1.4249659776687622, -1.2535972595214844, -0.052937936037778854, -1.0651196241378784, -1.9742072820663452, -2.145850658416748, -2.5285141468048096, 0.788255512714386]	[0.5515543818473816, 0.3766081631183624, 1.1582715511322021, 0.21214625239372253, -0.06786581873893738, 0.505099892616272, 0.8439396023750305, 0.1921079307794571, 0.187360942363739, 0.5050851702690125, 0.6390566825866699]	2
24	[1.2786798477172852, -0.496753454208374, 2.022397994995117, 0.19332203269004822]	[4.733194351196289, -4.345523834228516, 7.615467071533203, 11.426458358764648, -9.665781021118164, -12.823251724243164, -13.393499374389648, -4.649499416351318]	6.0	0.0	[-0.9994069933891296, -0.735853374004364, -0.8936488628387451, -0.7093622088432312, -0.460953027009964, -0.5057272911071777, 0.3918161690235138, -1.0544642210006714]	[0.22642692923545837, -0.1787518709897995, -0.5877154469490051, -0.1246718317270279, -0.2541249394416809, -0.378251850605011, -0.4944233000278473, -0.18112727999687195, -0.3341258764266968, -0.2694118916988373, -0.5380659699440002]	4
25	[-0.9390934109687805, 0.42764589190483093, -0.2556478977203369, -1.559844732284546]	[1.949610948562622, -6.546543121337891, 7.62756872177124, 9.582731246948242, -8.554266929626465, -10.216550827026367, -11.023736953735352, -2.595855474472046]	0.0	4.0	[2.144301414489746, 1.1462587118148804, 1.7913833856582642, -0.577920138835907, 0.2503584325313568, 0.2500879466533661, -1.2863343954086304, -0.16095584630966187]	[0.06708794087171555, -0.6113571524620056, 0.5168480277061462, 0.5016692876815796, 1.6008340120315552, 0.8373733162879944, 0.9396595358848572, 0.8886865973472595, 0.9962841272354126, 1.008377194404602, 0.9570484161376953]	4
26	[1.234907865524292, 0.5411092042922974, 2.0747509002685547, 0.7584731578826904]	[4.064125061035156, -2.6002438068389893, 6.884129047393799, 11.821813583374023, -8.769180297851562, -12.841774940490723, -13.795676231384277, -2.9491937160491943]	6.0	1.0	[-0.9549954533576965, -0.3884495198726654, -0.7445967793464661, 0.05203256011009216, -0.003820906626060605, 0.07466143369674683, 0.7227922677993774, -0.32702377438545227]	[-0.6747452020645142, 0.7088725566864014, -0.2403222620487213, 0.35944560170173645, 0.45433884859085083, 0.33097970485687256, -0.22726432979106903, -0.012070651166141033, -0.16883356869220734, -0.142069011926651, -0.03466863930225372]	1
27	[0.9474232196807861, 1.647836685180664, 1.7245864868164062, -0.9291700720787048]	[3.0281291007995605, -6.544719219207764, 7.570191860198975, 8.438989639282227, -8.362414360046387, -8.399677276611328, -9.363752365112305, -2.6922311782836914]	4.0	4.0	[0.34228646755218506, 0.9571658968925476, 0.7626728415489197, 0.20139089226722717, 1.0084562301635742, 0.8107268810272217, 0.7092617154121399, -0.5509644746780396]	[-0.01033494621515274, 0.8808973431587219, 0.3956397771835327, -0.06257852166891098, 2.5706868171691895, 1.763377070426941, 0.8325588703155518, 1.2105209827423096, 0.8754909634590149, 0.6696990132331848, 1.052268385887146]	4
28	[-0.7095395922660828, 1.086807370185852, -1.0854607820510864, -0.846161961555481]	[3.7038121223449707, -7.721390247344971, 8.488304138183594, 9.718195915222168, -9.29343318939209, -9.426128387451172, -10.861587524414062, -4.094450950622559]	0.0	4.0	[1.9932785034179688, 0.8617780208587646, 1.503071904182434, 0.05541731417179108, 0.29278600215911865, -0.06829474121332169, -0.9965866804122925, 0.5367885828018188]	[-0.43192529678344727, 0.21856075525283813, 0.2220793217420578, 0.24005596339702606, 1.621192455291748, 0.950383186340332, 0.9572415947914124, 0.6293975710868835, 0.6820917725563049, 0.8767162561416626, 0.8149173259735107]	0
29	[1.2166578769683838, 1.50303316116333, 1.9413363933563232, 0.10856163501739502]	[4.958211898803711, -5.11638069152832, 8.803214073181152, 9.32940673828125, -9.47485637664795, -12.930548667907715, -14.693840980529785, -2.2950477600097656]	6.0	0.0	[-0.39039909839630127, 0.3578994870185852, -0.010991783812642097, 0.41633301973342896, 0.685067355632782, 0.595628559589386, 0.9461901783943176, -0.23466652631759644]	[1.090349555015564, -0.8103939890861511, 0.3643091022968292, -0.07096681743860245, -0.2657327353954315, -0.29585954546928406, -0.12171343713998795, 0.13748785853385925, -0.025889748707413673, -0.16158965229988098, -0.09143960475921631]	2
30	[0.6567673087120056, 0.767024040222168, 1.4232847690582275, 1.2432138919830322]	[3.0093986988067627, -1.335946798324585, 6.969331741333008, 9.571954727172852, -10.653907775878906, -10.745770454406738, -11.529858589172363, -1.9921510219573975]	7.0	4.0	[-0.5327330231666565, -0.3069085478782654, -0.5465993285179138, 0.3620498776435852, -0.07467378675937653, 0.1491660326719284, 0.3315158188343048, 0.39787688851356506]	[-0.9119024872779846, -0.9269985556602478, -1.9089913368225098, 0.9534558653831482, 0.9964746236801147, -0.6881269812583923, -0.4912567734718323, -0.729637086391449, -0.6095988154411316, -0.4776787757873535, -0.6230876445770264]	4
31	[0.9113824963569641, 1.0819119215011597, 1.015887975692749, 0.7710846066474915]	[4.4091033935546875, -1.817031979560852, 7.965221405029297, 11.053555488586426, -10.461211204528809, -13.189210891723633, -15.34659194946289, -3.9833321571350098]	6.0	0.0	[-0.3645414710044861, -0.19296671450138092, -0.3538753390312195, 0.4217289686203003, 0.14128810167312622, -0.030533291399478912, 0.5178296566009521, 0.24862264096736908]	[-0.09251492470502853, -0.30636751651763916, -0.44168612360954285, -0.9831922054290771, -0.6140103936195374, -0.7676556706428528, -0.8930811285972595, -0.996476411819458, -1.059317708015442, -1.1797555685043335, -1.132034420967102]	2
32	[1.3565624952316284, 1.162336826324463, 1.514430046081543, 0.8547817468643188]	[3.2941067218780518, -3.5037310123443604, 8.670244216918945, 9.619584083557129, -7.853641510009766, -12.105840682983398, -13.250982284545898, -3.1758873462677]	6.0	1.0	[-0.8207781314849854, -0.3114176094532013, -0.6444730162620544, 0.4655699133872986, 0.22412000596523285, 0.010989201255142689, 0.9253426790237427, 0.031738489866256714]	[-0.9052289724349976, 1.081557273864746, 0.39907124638557434, -0.5535364747047424, -0.4184173345565796, 0.09766609966754913, -0.36361944675445557, -0.35297662019729614, -0.5789918303489685, -0.6187213063240051, -0.6773752570152283]	6
33	[0.9142377376556396, -1.6640703678131104, 1.5183860063552856, -1.0639907121658325]	[5.0652666091918945, -7.204809188842773, 8.932010650634766, 9.485218048095703, -10.437912940979004, -8.93020248413086, -12.442537307739258, -1.8277392387390137]	6.0	4.0	[-0.37618085741996765, -0.7495428919792175, -0.47543299198150635, -1.7270746231079102, -0.8691218495368958, -1.098632574081421, -0.3676385283470154, -1.925222635269165]	[-1.3826873302459717, -0.09265531599521637, -0.33190634846687317, 1.0835258960723877, 2.735586404800415, 1.018376111984253, 0.6258807182312012, 0.6030956506729126, 0.8044750094413757, 0.7903203368186951, 1.0274909734725952]	3
34	[1.8869857788085938, -1.5689579248428345, 2.4906182289123535, -0.20238664746284485]	[1.0954475402832031, -4.73272705078125, 7.961461067199707, 10.446945190429688, -9.308867454528809, -10.573871612548828, -14.618404388427734, -1.5043916702270508]	6.0	4.0	[-1.662165880203247, -1.358441710472107, -1.5023980140686035, -1.4686404466629028, -0.9250155687332153, -1.1778955459594727, 0.5241124629974365, -2.0586330890655518]	[-0.8738372921943665, 0.18958324193954468, -0.7393651604652405, -0.11658620089292526, 0.6011287569999695, 0.3946906328201294, -0.33980992436408997, -0.2827945649623871, -0.1283492147922516, -0.12240235507488251, -0.13185356557369232]	2
35	[1.2940819263458252, 1.9924910068511963, 1.8199647665023804, -0.2723188102245331]	[3.378995895385742, -2.4070849418640137, 6.168754577636719, 10.81025218963623, -9.471503257751465, -9.141757011413574, -11.564680099487305, -2.0970940589904785]	6.0	1.0	[-0.13755474984645844, 0.6962520480155945, 0.32964757084846497, 0.5891785621643066, 1.0345457792282104, 0.7797154784202576, 1.1092225313186646, -0.24172347784042358]	[-0.6140545606613159, 1.4900083541870117, -0.30893057584762573, -0.8743751049041748, 0.8990272283554077, 0.7561540603637695, 0.5534908771514893, 0.5519662499427795, 0.4373953342437744, 0.6381171345710754, 0.4146455228328705]	6
36	[-0.6998835802078247, -2.6164302825927734, -1.8428797721862793, 0.9538484811782837]	[1.8357219696044922, -6.559636116027832, 7.184863090515137, 10.316372871398926, -9.317017555236816, -11.291848182678223, -10.589226722717285, -3.9445958137512207]	0.0	2.0	[0.4197859466075897, -2.0053913593292236, -0.9521133303642273, -1.490918517112732, -2.3903427124023438, -2.7026374340057373, -2.1200883388519287, 0.08980949223041534]	[0.6115667819976807, 0.5813423991203308, 1.0511565208435059, 0.5495477914810181, 0.3055921196937561, 1.0092837810516357, 0.8760029077529907, 0.7308633923530579, 0.7835422158241272, 0.674167275428772, 0.8840843439102173]	0
37	[1.2150447368621826, -0.10225433111190796, 1.3283121585845947, -0.003831736743450165]	[0.6850070953369141, -5.388176441192627, 7.320947647094727, 11.2562894821167, -9.015464782714844, -10.6011381149292, -14.053833961486816, -3.3917646408081055]	6.0	0.0	[-0.6279041171073914, -0.5858367085456848, -0.611871063709259, -0.5059720873832703, -0.2994498908519745, -0.6285910606384277, 0.3595680892467499, -0.8326863646507263]	[2.4003896713256836, -0.8232589364051819, -0.05896966904401779, -0.8286624550819397, -1.2359648942947388, -0.39979979395866394, 0.584132730960846, 0.575110673904419, 0.1885399967432022, 0.3931349217891693, 0.3414071500301361]	4
38	[1.2441506385803223, -1.268774390220642, 2.1564395427703857, 0.16473634541034698]	[3.0605618953704834, -3.7585370540618896, 8.252843856811523, 10.702173233032227, -11.485121726989746, -11.054466247558594, -13.16281509399414, -3.9058969020843506]	6.0	4.0	[-1.1835964918136597, -1.0744879245758057, -1.1603984832763672, -1.1673742532730103, -0.867492139339447, -0.8299112915992737, 0.14788556098937988, -1.3965516090393066]	[-0.4247582256793976, -0.10860339552164078, -0.5416786670684814, -0.3137260973453522, 0.7647987604141235, 0.5328615307807922, -0.23699285089969635, -0.28043362498283386, -0.5659626722335815, -0.5381123423576355, -0.5819807052612305]	4
39	[0.8499371409416199, -1.4524134397506714, 1.9740934371948242, -0.3987690508365631]	[1.8658448457717896, -5.716994285583496, 8.29942512512207, 9.693644523620605, -9.444544792175293, -10.762432098388672, -10.874634742736816, -3.1725564002990723]	6.0	3.0	[-0.6491528153419495, -0.7627663612365723, -0.6832206845283508, -1.4302899837493896, -0.8376816511154175, -0.7380528450012207, -0.24185816943645477, -1.5536378622055054]	[-1.0751124620437622, -0.2629404664039612, -0.026230378076434135, 1.4614328145980835, 0.7409996390342712, 0.14109104871749878, 0.8733252286911011, 0.6920631527900696, 0.564781129360199, 0.7415160536766052, 0.7159942984580994]	3
40	[1.037041187286377, 0.9814223647117615, 1.9337600469589233, 0.4006916284561157]	[4.796178817749023, -4.37047004699707, 8.341970443725586, 11.736576080322266, -11.538593292236328, -11.677921295166016, -14.112249374389648, -4.2003889083862305]	6.0	3.0	[-0.5092312693595886, 0.06454572081565857, -0.25436121225357056, 0.20554521679878235, 0.3239704668521881, 0.3921666741371155, 0.6790346503257751, -0.21661005914211273]	[-1.762946367263794, 0.15973667800426483, -0.8719001412391663, 2.0054931640625, -0.13168208301067352, -0.36455458402633667, 0.18319842219352722, 0.28360092639923096, 0.10484160482883453, 0.17587296664714813, 0.19210729002952576]	3
41	[-0.8140925765037537, 1.223239779472351, 0.3416525721549988, -1.1468991041183472]	[1.572546124458313, -8.243026733398438, 8.881760597229004, 12.187427520751953, -9.721491813659668, -10.36843490600586, -13.290081024169922, -2.6649467945098877]	0.0	2.0	[1.9549039602279663, 1.4704723358154297, 1.82872474193573, -0.02966550551354885, 0.6899864673614502, 0.9156126379966736, -0.8463436961174011, 0.20865575969219208]	[1.1977803707122803, 0.3173260986804962, 1.4453538656234741, -0.09135187417268753, 0.7451843619346619, 0.8637606501579285, 1.3545007705688477, 1.3787306547164917, 1.092422366142273, 1.1321004629135132, 1.2425978183746338]	2
42	[0.618643581867218, 3.3884024620056152, 1.374678373336792, -0.9452075958251953]	[4.58126163482666, -6.612792015075684, 8.0813627243042, 10.022547721862793, -9.321512222290039, -9.701587677001953, -14.536985397338867, -3.698183536529541]	1.0	4.0	[1.1139575242996216, 1.970301628112793, 1.673622965812683, 1.213793396949768, 1.9600321054458618, 1.777835726737976, 0.9662744998931885, 0.3679264783859253]	[-1.5282621383666992, 0.9524142742156982, -0.40387848019599915, 0.40075039863586426, 2.4715416431427, 1.4186660051345825, 1.2222793102264404, 1.1241093873977661, 1.2067433595657349, 1.2187035083770752, 1.157329797744751]	4
