
/disk/junlin/EmoSp/bart-our/-LIGHT-TRANS4/all_loss0.6_0.2_0.2_kl-lr_2e-05-Emoin-nopp-empp-ensitu-vae-mvae256-wo_comet-vad-0.3124_II
vocab size = 50265
Some weights of BartForConditionalGeneration were not initialized from the model checkpoint at facebook/bart-base and are newly initialized: ['encoder.layers.0.attn_layer_norm_comet.weight', 'encoder.layers.0.attn_layer_norm_comet.bias', 'encoder.layers.1.attn_layer_norm_comet.weight', 'encoder.layers.1.attn_layer_norm_comet.bias', 'encoder.layers.2.attn_layer_norm_comet.weight', 'encoder.layers.2.attn_layer_norm_comet.bias', 'encoder.layers.3.attn_layer_norm_comet.weight', 'encoder.layers.3.attn_layer_norm_comet.bias', 'encoder.layers.4.attn_layer_norm_comet.weight', 'encoder.layers.4.attn_layer_norm_comet.bias', 'encoder.layers.5.attn_layer_norm_comet.weight', 'encoder.layers.5.attn_layer_norm_comet.bias', 'encoder.layers.5.muAttn.k_proj.weight', 'encoder.layers.5.muAttn.k_proj.bias', 'encoder.layers.5.muAttn.v_proj.weight', 'encoder.layers.5.muAttn.v_proj.bias', 'encoder.layers.5.muAttn.q_proj.weight', 'encoder.layers.5.muAttn.q_proj.bias', 'encoder.layers.5.muAttn.out_proj.weight', 'encoder.layers.5.muAttn.out_proj.bias', 'encoder.emotion_head.weight', 'encoder.emotion_head.bias', 'encoder.batchNorm_emotion.weight', 'encoder.batchNorm_emotion.bias', 'encoder.batchNorm_emotion.running_mean', 'encoder.batchNorm_emotion.running_var', 'encoder.batchNorm_strategy.weight', 'encoder.batchNorm_strategy.bias', 'encoder.batchNorm_strategy.running_mean', 'encoder.batchNorm_strategy.running_var', 'encoder.strategy_embedding.weight', 'encoder.multi_state_LayerNorm.weight', 'encoder.multi_state_LayerNorm.bias', 'encoder.strategy_head.weight', 'encoder.strategy_head.bias', 'encoder.trans_mat.emotion_embedding.weight', 'encoder.trans_mat.h_prior_emo.weight', 'encoder.trans_mat.h_prior_emo.bias', 'encoder.trans_mat.h_prior_strat.weight', 'encoder.trans_mat.h_prior_strat.bias', 'encoder.trans_mat.mu_prior.weight', 'encoder.trans_mat.mu_prior.bias', 'encoder.trans_mat.logvar_prior.weight', 'encoder.trans_mat.logvar_prior.bias', 'encoder.trans_mat.Dense_z_prior.weight', 'encoder.trans_mat.Dense_z_prior.bias', 'encoder.trans_mat.h_posterior_emo.weight', 'encoder.trans_mat.h_posterior_emo.bias', 'encoder.trans_mat.h_posterior_strat.weight', 'encoder.trans_mat.h_posterior_strat.bias', 'encoder.trans_mat.mu_posterior.weight', 'encoder.trans_mat.mu_posterior.bias', 'encoder.trans_mat.logvar_posterior.weight', 'encoder.trans_mat.logvar_posterior.bias', 'encoder.strat_cat_attn.V', 'encoder.strat_cat_attn.W.weight', 'encoder.emo_cat_attn.V', 'encoder.emo_cat_attn.W.weight', 'decoder.layers.0.encoder_attn_layer_norm_strategy.weight', 'decoder.layers.0.encoder_attn_layer_norm_strategy.bias', 'decoder.layers.0.encoder_attn_layer_norm_comet.weight', 'decoder.layers.0.encoder_attn_layer_norm_comet.bias', 'decoder.layers.0.encoder_attn_layer_norm_total.weight', 'decoder.layers.0.encoder_attn_layer_norm_total.bias', 'decoder.layers.1.encoder_attn_layer_norm_strategy.weight', 'decoder.layers.1.encoder_attn_layer_norm_strategy.bias', 'decoder.layers.1.encoder_attn_layer_norm_comet.weight', 'decoder.layers.1.encoder_attn_layer_norm_comet.bias', 'decoder.layers.1.encoder_attn_layer_norm_total.weight', 'decoder.layers.1.encoder_attn_layer_norm_total.bias', 'decoder.layers.2.encoder_attn_layer_norm_strategy.weight', 'decoder.layers.2.encoder_attn_layer_norm_strategy.bias', 'decoder.layers.2.encoder_attn_layer_norm_comet.weight', 'decoder.layers.2.encoder_attn_layer_norm_comet.bias', 'decoder.layers.2.encoder_attn_layer_norm_total.weight', 'decoder.layers.2.encoder_attn_layer_norm_total.bias', 'decoder.layers.3.encoder_attn_layer_norm_strategy.weight', 'decoder.layers.3.encoder_attn_layer_norm_strategy.bias', 'decoder.layers.3.encoder_attn_layer_norm_comet.weight', 'decoder.layers.3.encoder_attn_layer_norm_comet.bias', 'decoder.layers.3.encoder_attn_layer_norm_total.weight', 'decoder.layers.3.encoder_attn_layer_norm_total.bias', 'decoder.layers.4.encoder_attn_layer_norm_strategy.weight', 'decoder.layers.4.encoder_attn_layer_norm_strategy.bias', 'decoder.layers.4.encoder_attn_layer_norm_comet.weight', 'decoder.layers.4.encoder_attn_layer_norm_comet.bias', 'decoder.layers.4.encoder_attn_layer_norm_total.weight', 'decoder.layers.4.encoder_attn_layer_norm_total.bias', 'decoder.layers.5.encoder_attn_layer_norm_strategy.weight', 'decoder.layers.5.encoder_attn_layer_norm_strategy.bias', 'decoder.layers.5.encoder_attn_layer_norm_comet.weight', 'decoder.layers.5.encoder_attn_layer_norm_comet.bias', 'decoder.layers.5.encoder_attn_layer_norm_total.weight', 'decoder.layers.5.encoder_attn_layer_norm_total.bias', 'fuse_st_emo.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
  0%|                                                                                                                                          | 0/510 [00:00<?, ?it/s]
without comet
100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 510/510 [04:18<00:00,  1.97it/s]






























 29%|█████████████████████████████████████▏                                                                                          | 148/510 [01:01<02:26,  2.47it/s]
































































 88%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████▋               | 449/510 [03:39<00:25,  2.40it/s]












100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 510/510 [04:36<00:00,  1.84it/s]


















































 47%|███████████████████████████████████████████████████████████▉                                                                    | 239/510 [01:39<01:50,  2.46it/s]























































100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 510/510 [03:45<00:00,  2.26it/s]






  5%|██████▊                                                                                                                          | 27/510 [00:11<03:15,  2.47it/s]
































































 65%|██████████████████████████████████████████████████████████████████████████████████▌                                             | 329/510 [02:48<01:19,  2.27it/s]





































100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 510/510 [04:17<00:00,  1.98it/s]

























 23%|█████████████████████████████▊                                                                                                  | 119/510 [00:50<02:55,  2.23it/s]






























































 82%|████████████████████████████████████████████████████████████████████████████████████████████████████████▉                       | 418/510 [03:07<00:39,  2.32it/s]




















100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 510/510 [03:58<00:00,  2.14it/s]











































 41%|████████████████████████████████████████████████████▍                                                                           | 209/510 [01:26<02:03,  2.44it/s]































































 99%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▏| 507/510 [03:44<00:01,  2.52it/s]


100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 510/510 [03:58<00:00,  2.14it/s]
Train finished~
without comet
evaluating
vocab size = 50265
without comet
Testing:   0%|                                                                                                                        | 2/2295 [00:00<05:37,  6.79it/s]
You' re welcome! I hope you have a great day.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Greeting]'}
Hello, how are you doing?
{'ref strategy': '[Question]', 'hyp strategy': '[Question]'}
I can understand how that would be frustrating. Do you have any friends or family you can talk to?
{'ref strategy': '[Self-disclosure]', 'hyp strategy': '[Question]'}
wow, that is a lot of work.
{'ref strategy': '[Reflection of feelings]', 'hyp strategy': '[Providing Suggestions or Information]'}
I am doing well, thanks for asking. How are you?
{'ref strategy': '[Question]', 'hyp strategy': '[Question]'}
I' m sorry to hear that. I' ve lost a friend too. I know how hard it can be to lose someone you love.
{'ref strategy': '[Restatement or Paraphrasing]', 'hyp strategy': '[Reflection of feelings]'}
You too.

Testing:   1%|▌                                                                                                                      | 12/2295 [00:02<07:49,  4.87it/s]
Yes, I do. I try to do it daily, and it helps me a lot.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
I am sorry to hear that. I have been in the same situation myself.
{'ref strategy': '[Question]', 'hyp strategy': '[Question]'}
You' re welcome. I hope you are able to take some time to reflect on the situation and how you are feeling.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Greeting]'}
Thats the spirit:)
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
I' m sorry to hear that. I' ve been in that situation myself.
{'ref strategy': '[Question]', 'hyp strategy': '[Restatement or Paraphrasing]'}
I am glad to hear that. I know it is hard but, I think you will make it!
{'ref strategy': '[Others]', 'hyp strategy': '[Affirmation and Reassurance]'}
I' m sorry to hear that. I' ve been in that position myself too. I know it' s hard to find new work but I know you can do it!
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Restatement or Paraphrasing]'}
I am so sorry to hear that. I' m sorry to see that. How long have you been together?

Testing:   1%|█                                                                                                                      | 20/2295 [00:04<08:27,  4.48it/s]
I' m doing well. What' s going on?
{'ref strategy': '[Question]', 'hyp strategy': '[Question]'}
that' s a great idea.
{'ref strategy': '[Reflection of feelings]', 'hyp strategy': '[Affirmation and Reassurance]'}
I think that it would be a good idea to take some time apart and let things calm down.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
I hear you! I' ve been feeling defeated too! I know it' s hard to start, but I know you can do it!
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
Hi, how are you doing today?
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Question]'}
I am sure you will be able to overcome this.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Providing Suggestions or Information]'}
I think that it is important to be clear that you don' t want to take any medication and that you are not going to be given medication.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Question]'}
I think it' s a good idea to get it cut, I think you will be able to do it better.
{'ref strategy': '[Others]', 'hyp strategy': '[Affirmation and Reassurance]'}
Good afternoon/ evening.

Testing:   1%|█▍                                                                                                                     | 28/2295 [00:06<09:05,  4.15it/s]
I think you will! I hope you have a great day.
{'ref strategy': '[Self-disclosure]', 'hyp strategy': '[Providing Suggestions or Information]'}
I am sorry to hear that. What is going on?
{'ref strategy': '[Restatement or Paraphrasing]', 'hyp strategy': '[Restatement or Paraphrasing]'}
I think that it would be a good idea to bring your g. f. with you.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
I' m sure that' s a good idea. It' s important to remember that you are not alone in this situation.
{'ref strategy': '[Restatement or Paraphrasing]', 'hyp strategy': '[Restatement or Paraphrasing]'}
Hi, I am sorry to hear that. Is there anything specific that you' d like to talk about?
{'ref strategy': '[Others]', 'hyp strategy': '[Question]'}
I understand that. I have also lost my house and it was very hard to get out of it.
{'ref strategy': '[Self-disclosure]', 'hyp strategy': '[Affirmation and Reassurance]'}
I think that you' re very welcome. I hope you feel better soon.
{'ref strategy': '[Greeting]', 'hyp strategy': '[Greeting]'}
I think you should take the time to focus on yourself and your fiance.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Affirmation and Reassurance]'}
I hope you will be able to forgive her.

Testing:   2%|█▊                                                                                                                     | 36/2295 [00:08<10:12,  3.69it/s]
I can understand how that feels. Covid has been really hard on everyone. I know it' s hard to deal with, but I know you can get through it.
{'ref strategy': '[Question]', 'hyp strategy': '[Providing Suggestions or Information]'}
I think you should confront her about it. I know that you are very mature and mature for this situation.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
I think it' s important to be able to identify what is right and what is wrong.
{'ref strategy': '[Self-disclosure]', 'hyp strategy': '[Providing Suggestions or Information]'}
I' m doing well, how are you?
{'ref strategy': '[Reflection of feelings]', 'hyp strategy': '[Question]'}
That is a great idea. It sounds like you are trying hard and have a plan in place to get back into the job market.
{'ref strategy': '[Question]', 'hyp strategy': '[Affirmation and Reassurance]'}
I think that' s a great idea. I think that you will be able to get through this!
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
I am in the same boat.
{'ref strategy': '[Reflection of feelings]', 'hyp strategy': '[Affirmation and Reassurance]'}
you will be better in front of her and your friend.

Testing:   2%|██▎                                                                                                                    | 44/2295 [00:10<09:15,  4.05it/s]
I am sorry to hear that. Do you have any academic problems?
{'ref strategy': '[Reflection of feelings]', 'hyp strategy': '[Restatement or Paraphrasing]'}
I am sorry to hear that, I have been friends with him for 5 years and i know how hard it can be to talk about it.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Providing Suggestions or Information]'}
I' m so sorry to hear that. I' ve been in the same situation myself.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Restatement or Paraphrasing]'}
I did a little bit of searching online and found a few jobs that were more suited to my skills.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Self-disclosure]'}
I am sorry to hear that. What is causing you to feel depressed?
{'ref strategy': '[Question]', 'hyp strategy': '[Question]'}
I can understand how that would be difficult.
{'ref strategy': '[Question]', 'hyp strategy': '[Affirmation and Reassurance]'}
I' ve been in that position before. I have found that it helps to be less anxious, and to take a few deep breaths and reflect on the situation.
{'ref strategy': '[Self-disclosure]', 'hyp strategy': '[Providing Suggestions or Information]'}
you are welcome, i hope you have a great day.

Testing:   2%|██▋                                                                                                                    | 52/2295 [00:12<12:44,  2.93it/s]
you too, stay safe and have a great day.
{'ref strategy': '[Greeting]', 'hyp strategy': '[Greeting]'}
I think it' s great that you are taking the time to meditate. I think it really helps to take your mind off of things.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
I understand, I have also struggled with the same situation. I know it is hard to find a job when you are so far away from home. I think you should try to find something that will give you some relief.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
i understand. i have been in the same situation. i know it' s hard to find things that you want but i know you can do it.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Reflection of feelings]'}
I think you should try to use YouTube for a longer video.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
I' m sorry to hear that. Is there anything you' d like to talk about?

Testing:   3%|███                                                                                                                    | 60/2295 [00:14<09:02,  4.12it/s]
I understand. I have been in a similar situation. I used to play board games and it was fun.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Self-disclosure]'}
You are welcome. I hope that I have been able to be of some help to you.
{'ref strategy': '[Greeting]', 'hyp strategy': '[Greeting]'}
I can understand how that feels. I have been in a similar situation.
{'ref strategy': '[Restatement or Paraphrasing]', 'hyp strategy': '[Reflection of feelings]'}
You' re welcome! I hope you feel better and that you have a great day!
{'ref strategy': '[Greeting]', 'hyp strategy': '[Greeting]'}
I would seek professional help. I think it is a very good idea to do that.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Affirmation and Reassurance]'}
I am sorry to hear that. I have been in this situation before.
{'ref strategy': '[Reflection of feelings]', 'hyp strategy': '[Restatement or Paraphrasing]'}
Hello, how are you doing today?
{'ref strategy': '[Greeting]', 'hyp strategy': '[Question]'}
I have done a few online courses and I have been very impressed with how well you can showcase your skills.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
I' m glad I was able to help! I hope you have a great day!

Testing:   3%|███▌                                                                                                                   | 68/2295 [00:16<09:10,  4.04it/s]
I think you are very intelligent and have a good heart. I would suggest you try to talk to your boss about this situation and see if he can understand why you are staying late.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Affirmation and Reassurance]'}
I am sorry to hear that. What is causing you to feel sad?
{'ref strategy': '[Question]', 'hyp strategy': '[Question]'}
I think that you should try to talk to him about it. I think that it would be a good idea to start a conversation with him.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
oh, so you are from New york?
{'ref strategy': '[Reflection of feelings]', 'hyp strategy': '[Affirmation and Reassurance]'}
yes i know it has been a bad year but i think you will get through this.
{'ref strategy': '[Others]', 'hyp strategy': '[Providing Suggestions or Information]'}
Hello! How are you doing today?
{'ref strategy': '[Question]', 'hyp strategy': '[Question]'}
I can understand that. I have had to deal with the same thing myself. I think that it' s really important to try and find new friends.
{'ref strategy': '[Greeting]', 'hyp strategy': '[Self-disclosure]'}
I can understand why that would be.
{'ref strategy': '[Question]', 'hyp strategy': '[Restatement or Paraphrasing]'}
i think that is a good idea.

