,reward_a,turn_a,response_a,reward_b,turn_b,response_b
126,4.693001747131348,19,I can understand how you feel. I have been cheated on too.,4.676080703735352,19,I'm sorry to hear that. I've been cheated on too. Do you have any friends you can talk to?
127,4.595775604248047,18,"I am sorry to hear that, have you tried to talk to your friend about it?",4.606729030609131,18,"I am sorry to hear that, what is the reason for the fight?"
129,4.809943199157715,10,"I am glad I could help, I think you will be able to get through this.",4.792490482330322,10,"I am sorry to hear that, I have been in that position myself and I know how stressful it can be."
130,4.513925075531006,8,I can understand how you feel. I have been in a similar situation and I can relate to that.,4.506809234619141,8,I can understand how you feel. I had a similar experience where I broke my foot and chipped my two front teeth. I know how difficult that is.
131,4.633358955383301,6,"I think that would be a great idea, and I think that you should try to find a way to talk to him through FaceTime",4.6157073974609375,6,"I can understand that completely, I can relate a lot"
132,4.680449962615967,43,"I see. I think you should try to keep it short and loose, it might be easier to tame.",4.696385383605957,43,"I can see that you are concerned about your hair, but I think it might be worth a try."
133,4.583313941955566,38,"I think that is a great idea. I think that you should get some new netflix subscriptions, since you are very passionate about it and you have been through a lot of this",4.540890216827393,38,"I think that is a great idea, it sounds like you are trying to take some time to yourself and try to get over this situation"
134,4.7219767570495605,8,I understand. I have been in that situation myself. I've been in a similar situation where I have to watch my friends excel on a tiny phone screen and follow along.,4.71174955368042,8,I understand that. I've been in a similar situation.
135,4.723923683166504,50,"I understand that. I personally enjoy learning, and would always regret it if I never finished my degree. We all have our cultural norms that we conform to, whether consciously or unconsciously.",4.725182056427002,50,I understand that. It's also important to remember that you are not alone in this.
136,4.623785972595215,2,"I like to cook too, I love to bake bread.",4.617724895477295,2,"I like to cook too, I like to make bread and fruits."
138,4.749672889709473,16,I think that is a good idea!,4.7050909996032715,16,I think you are doing a great job of reaching out to people who are experiencing the same issues you are.
143,4.8192949295043945,22,I think that you are being manipulative and you are not doing anything wrong.,4.830626010894775,22,I think that you should be able to see that you are not being manipulative.
144,4.850414752960205,32,I think that it is a very common condition and it is not something that everyone is suffering from. I think that there are many organisations out there that can help you.,4.8878583908081055,32,I think that there are many organisations out there that can help you. I think that you could start by talking to them about your feelings and getting some support.
145,4.848641395568848,35,You are very welcome. I hope that things go well for you and that you feel better soon.,4.81268835067749,35,You are very welcome.
146,4.58992862701416,6,how are you doing?,4.634492874145508,6,"I am doing well, how are you?"
147,4.3675737380981445,3,I think you should try to take a break from grocery shopping.,4.368400573730469,3,I think you should try to find a new way to cope with the pandemic.
148,4.750868320465088,36,I am glad to help.,4.745588779449463,36,No problem. I am glad to help.
149,4.555004596710205,15,I understand. It sounds like you are really discouraged. Do you have any friends or family that you can talk to?,4.554664611816406,15,I understand. I have also tried a lot of different methods.
150,4.635286808013916,50,I can understand that. I have been in a similar situation. I had to leave my job because of the pandemic.,4.640198707580566,50,I understand. I have been in a similar situation. I was also forced to take up a new hobby for a while.
152,4.653657913208008,22,i live in a city that has reduced hours. i can take the bus out there. i've found that it's a great way to spend time.,4.715028285980225,22,it's a great way to get out of the house. maybe you can take the bus to the library?
153,4.880800724029541,20,i have been through the same thing and i know how hard it is to find a path out. i know you are strong and determined and you will find the path out,4.893723011016846,20,you are very welcome. i wish you all the best in the future
154,4.51360559463501,15,I can understand how that would be hard. Have you tried talking to your son about it?,4.492070198059082,15,I can understand how that would be hard. I've been in that situation myself.
155,4.561930179595947,8,I understand that. I have also suffered from depression in the past and it has increased over time. Do you have any friends or family that you can talk to about this?,4.546332836151123,8,I can understand how that can be difficult. Have you tried to talk to your doctor about it?
156,4.545821666717529,12,I'm glad I could help. I think you're doing the right thing in accepting that you're not alone.,4.538103103637695,12,I'm glad I could help. I think you're doing the right thing in waiting for your ex to get over you.
157,4.384632587432861,44,I think that it is not really about him. Have you tried to talk to him about this?,4.489161014556885,44,I am sorry to hear that. Have you considered getting some sort of counselling?
159,4.340951919555664,10,it sounds like you are struggling with online learning,4.380070686340332,10,"it is hard to learn online, but you can try it"
160,4.3950653076171875,8,"I can understand that, financially things are hard right now.",4.551356315612793,8,"I understand that, financially things are hard right now, but I think that you guys can do it!"
161,4.8519415855407715,18,I think that's a good idea!,4.832756996154785,18,I think you're doing the right thing.
162,4.572438716888428,14,I'm sorry to hear that. What happened?,4.5467329025268555,14,I'm sorry to hear that. How long have you been together?
163,4.6133809089660645,18,I understand how you feel. I have a 5 year old and I can understand how frustrating it is to have to take care of a 5-year old. Does that sound right?,4.585109233856201,18,I understand how you feel. I can imagine how frustrating it would be for you to not have a job. Do you have any friends or family that you could talk to about this?
164,4.517477035522461,8,I think that you are not ready to ask for space and I think that the only way you can get it is by asking for space.,4.553507328033447,8,I think that you are doing the right thing and you are not ready to ask for the space to move forward.
166,4.635670185089111,30,i can understand that. what did he do?,4.575638771057129,30,that's not good. did you tell him why he did that?
168,4.526697635650635,18,I'm sorry to hear that. What is making you sad?,4.493488788604736,18,What's on your mind?
169,4.576608657836914,14,I am sorry to hear that. Have you tried any therapy?,4.593008041381836,14,I am sorry to hear that. Do you have any friends or family you can talk to?
170,4.731100082397461,39,I think that you are not alone in feeling this way. I know it's hard but I think that it's important to remember that you loved him and that you didn't mean him much,4.7592363357543945,39,I think that you are doing the right thing in coping with this. I think that it's important to remember that you loved him and not feel guilty for it
171,4.538995742797852,11,that's a great idea. i think that overwatch is a great way to play video games. it's a very simple game. you can play it and try to make it a bit longer.,4.440872669219971,11,that's a great idea. maybe you can play some video games?
172,4.706484317779541,24,that's horrible. I'm sure he would have done the same if he had known you were together for 3 years.,4.730951309204102,24,that's really messed up. I can understand how you feel.
173,4.444569110870361,5,I don't think that is a good thing. I think it is a terrible idea to be anti-Khan.,4.649073123931885,5,I think that's a good idea. I think that it's a very sensible thing to do.
174,4.541986465454102,8,I think you should try to focus on something else.,4.580515384674072,8,I think you should try to distract yourself from the breakup. Maybe you can take a walk or something that you enjoy doing.
175,4.533848762512207,18,"I think that you should start looking for a new job, I know that it's hard to find new work, but I think that it would be possible to find a new one",4.556519031524658,18,I think that you should try to talk to your boss and see if they can help you
177,4.37750244140625,31,I think that's a great idea!,4.289898872375488,31,You too!
178,4.702754497528076,21,"I can understand how that feels. It's hard to accept that you did something that you don't agree with, but it's important to be honest with yourself.",4.791190147399902,21,"I can tell that you're very upset about this, but you also want to be able to talk about it with someone who cares about you."
179,4.504527568817139,14,"That's understandable, I know it's hard to learn from home. Do you have any friends that you can talk to about this?",4.506074905395508,14,That's a really tough situation to be in. I've been in a similar situation myself and I can tell how stressed you are about that.
180,4.608149528503418,12,I understand your concern there but it could help pay some bills.,4.595007419586182,12,I understand your concern there but it could help pay some bills. Do you have any friends that you could talk to?
181,4.777490139007568,30,I understand that. I have been in a similar situation and it was very hard to get out of it.,4.819397449493408,30,what do you think is the problem?
182,4.667026042938232,39,I understand that. I have been in situations where I have felt that way myself.,4.57030725479126,39,I understand. It is very hard to have feelings for someone who does not share those feelings with you. Have you tried to put distance between yourself and this friend?
183,4.742396831512451,14,I understand that. I have had to take care of my sick grandmother after work and had a tough time explaining it to my boss.,4.727348804473877,14,I understand. I have had to take care of my sick grandmother after work and had a tough time explaining it to my boss.
184,4.425735950469971,16,I have been in situations like that where I have to make up time by staying late.,4.4306111335754395,16,I understand. I have had to deal with a boss who was not understanding my reasoning.
186,4.523204326629639,16,I can understand that. I have been in the same situation myself. I've had to deal with anxiety and depression myself.,4.618730545043945,16,I think that it's a very good idea to be able to take some time to think about the future.
187,4.465071678161621,10,I'm here to listen. What is your problem?,4.456474304199219,10,What is your problem?
188,4.702438831329346,13,I think that you should try to talk to your friends and see if they can help you.,4.732427597045898,13,I think that you should try to talk to your friends and let them know how you feel.
189,4.623960018157959,17,i'm sorry to hear that. have you tried reaching out to her again?,4.668863773345947,17,i can understand why that would be frustrating.
190,4.335960865020752,3,I understand. I have to move in a truck too.,4.497034549713135,3,I'm glad I could help.
191,4.634914875030518,28,I think that you are very capable of handling these feelings. I think that it is important to be kind to yourself.,4.439421653747559,28,I hope that I have been of some assistance to you.
193,4.637580394744873,39,yes it's snowing here,4.637098789215088,39,I live in the US so i can see that it's snowing here
195,4.819174289703369,29,I think you will find that online message boards are very helpful,4.825725078582764,29,I think you should try to reach out to your local counsellor and see if they can help you
196,4.67811918258667,30,I understand. I have been in a similar situation. Do you feel like you are alone?,4.718593120574951,30,I understand. Have you tried talking to your friends about it?
197,4.816203594207764,23,I understand. I have been in that situation too. Do you think that it will be possible for you to complete your degree?,4.8196539878845215,23,I can understand that. I have been in that situation too.
198,4.523684501647949,21,i can imagine that it's difficult to be wary of people who might not be aware of you. i know that there are some online resources that you can use to get through this. i've found that I focus on other people more than just friends.,4.419285297393799,21,i can imagine that it's difficult to know who might be coming your way. i've been in a similar situation before and i've found that being wary of people can help me move on.
199,4.303319454193115,4,"I see, I have been in a similar situation myself and i can tell that you are very upset about this.",4.342040061950684,4,"I see, it sounds like you are feeling down over the misunderstanding and that you feel that he is avoiding you."
200,4.864473342895508,23,I think that you are very intelligent and you can make a good choice.,4.9015679359436035,23,You are very welcome! I hope that I have been able to help you a little.
201,4.277053356170654,10,I can understand that. It seems like you are trying to find a job but there are not many openings. Have you considered looking online?,4.256286144256592,10,I can understand that. I have been looking for work for about 6 months. What are some of the things that you are looking for?
202,4.422452926635742,8,I see. Have you tried to talk to your supervisor about this?,4.496978282928467,8,I can understand that. I have had a similar situation where I was told to not give the order to the right address and then the customer was not given the order.
205,4.773169994354248,14,I think that it is important to be aware that there are benefits to it. I am sure that you will feel better in the long run.,4.776225566864014,14,I think that it is important to be aware that there are benefits to it. I think that you should be able to use this opportunity to explore new opportunities.
209,4.654060363769531,4,I think it's great that you're taking steps to try to stay focused and not overdo it.,4.611978054046631,4,I think it's great that you're taking steps to try to avoid stress. Is there anything else I can help you with?
210,4.606759071350098,25,That's a terrible thing to do. I can understand how you feel.,4.595158576965332,25,That's a really difficult situation to be in. I think you deserve someone that is not as selfish as your ex.
211,4.647379398345947,4,I understand that you are feeling that way. I know that you have been feeling that pain as well.,4.531445503234863,4,yes it's a difficult time right now but I know that you can make it through this!
212,4.757596492767334,19,I can understand how you are feeling. Have you tried talking to him about his behavior?,4.715635776519775,19,I can understand how that would be difficult to get through to. Have you talked to your boyfriend about the way he is acting?
213,4.801092624664307,26,"I run, lol. I don't know if you have any friends or family that can help you with that.",4.825518608093262,26,"I also have found that if I break stuff down, it helps to take a break from the stress."
214,4.835124969482422,17,"I know it's hard to be alone, but I think you're worth it.",4.719836235046387,17,"I understand that. I've been in a similar situation. I know it's hard to find someone who is worth talking to, but there are a lot of resources to talk to."
